Datetime,CO(GT)
2004-05-04200000,54.0
2004-05-04210000,3.0
2004-05-04220000,9.0
2004-05-04230000,11.0
2004-05-05000000,7.0
2004-05-05010000,5.0
2004-05-05020000,5.0
2004-05-05030000,5.0
2004-05-05050000,8.0
2004-05-05060000,13.0
2004-05-05070000,35.0
2004-05-05090000,39.0
2004-05-05100000,29.0
2004-05-05110000,26.0
2004-05-05120000,3.0
2004-05-05130000,37.0
2004-05-05140000,39.0
2004-05-05150000,35.0
2004-05-05160000,24.0
2004-05-05170000,16.0
2004-05-05180000,3.0
2004-05-05190000,16.0
2004-05-05200000,21.0
2004-05-05210000,18.0
2004-05-05220000,11.0
2004-05-05230000,15.0
2004-05-06000000,14.0
2004-05-06010000,9.0
2004-05-06020000,5.0
2004-05-06030000,4.0
2004-05-06050000,6.0
2004-05-06060000,13.0
2004-05-06070000,29.0
2004-05-06080000,36.0
2004-05-06090000,34.0
2004-05-06100000,25.0
2004-05-06110000,21.0
2004-05-06120000,11.0
2004-05-06130000,18.0
2004-05-06140000,3.0
2004-05-06150000,31.0
2004-05-06160000,36.0
2004-05-06170000,33.0
2004-05-06180000,18.0
2004-05-06190000,21.0
2004-05-06200000,22.0
2004-05-06210000,16.0
2004-05-06220000,9.0
2004-05-06230000,18.0
2004-05-07000000,23.0
2004-05-07010000,2.0
2004-05-07020000,9.0
2004-05-07030000,6.0
2004-05-07050000,7.0
2004-05-07060000,15.0
2004-05-07070000,37.0
2004-05-07080000,42.0
2004-05-07090000,34.0
2004-05-07100000,24.0
2004-05-07110000,13.0
2004-05-07120000,15.0
2004-05-07130000,22.0
2004-05-07140000,18.0
2004-05-07150000,19.0
2004-05-07160000,23.0
2004-05-07170000,36.0
2004-05-07180000,43.0
2004-05-07190000,22.0
2004-05-07200000,15.0
2004-05-07210000,2.0
2004-05-07220000,2.0
2004-05-07230000,21.0
2004-05-08000000,15.0
2004-05-08010000,22.0
2004-05-08020000,5.0
2004-05-10090000,44.0
2004-05-10100000,25.0
2004-05-10110000,21.0
2004-05-10120000,24.0
2004-05-10130000,22.0
2004-05-10140000,22.0
2004-05-10150000,23.0
2004-05-10160000,21.0
2004-05-10170000,25.0
2004-05-10180000,36.0
2004-05-10190000,4.0
2004-05-10200000,3.0
2004-05-10210000,21.0
2004-05-10220000,17.0
2004-05-10230000,11.0
2004-05-11000000,9.0
2004-05-11010000,4.0
2004-05-11020000,2.0
2004-05-11030000,2.0
2004-05-11050000,6.0
2004-05-11060000,14.0
2004-05-11070000,46.0
2004-05-11080000,55.0
2004-05-11090000,48.0
2004-05-11100000,45.0
2004-05-11110000,3.0
2004-05-11120000,25.0
2004-05-11130000,23.0
2004-05-11140000,2.0
2004-05-11150000,19.0
2004-05-11160000,19.0
2004-05-11170000,35.0
2004-05-11180000,46.0
2004-05-11190000,63.0
2004-05-11200000,5.0
2004-05-11210000,33.0
2004-05-11220000,27.0
2004-05-11230000,22.0
2004-05-12000000,17.0
2004-05-12010000,8.0
2004-05-12020000,8.0
2004-05-12030000,6.0
2004-05-12050000,8.0
2004-05-12060000,15.0
2004-05-12070000,41.0
2004-05-12080000,59.0
2004-05-12090000,51.0
2004-05-12100000,39.0
2004-05-12110000,34.0
2004-05-12120000,33.0
2004-05-12130000,51.0
2004-05-12140000,31.0
2004-05-12150000,25.0
2004-05-12160000,24.0
2004-05-12170000,28.0
2004-05-12180000,29.0
2004-05-12190000,34.0
2004-05-12200000,22.0
2004-05-12210000,16.0
2004-05-12220000,13.0
2004-05-12230000,13.0
2004-05-13000000,16.0
2004-05-13010000,12.0
2004-05-13020000,6.0
2004-05-13030000,4.0
2004-05-13050000,4.0
2004-05-13060000,1.0
2004-05-13070000,2.0
2004-05-13080000,36.0
2004-05-13090000,24.0
2004-05-13100000,24.0
2004-05-13110000,16.0
2004-05-13120000,19.0
2004-05-13130000,24.0
2004-05-13140000,17.0
2004-05-13150000,21.0
2004-05-13160000,31.0
2004-05-13170000,46.0
2004-05-13180000,45.0
2004-05-13190000,39.0
2004-05-13200000,46.0
2004-05-13210000,33.0
2004-05-13220000,27.0
2004-05-13230000,33.0
2004-05-14000000,25.0
2004-05-14010000,21.0
2004-05-14020000,13.0
2004-05-14030000,1.0
2004-05-14050000,12.0
2004-05-14060000,15.0
2004-05-14070000,37.0
2004-05-14090000,33.0
2004-05-14100000,25.0
2004-05-14110000,19.0
2004-05-14120000,2.0
2004-05-14130000,25.0
2004-05-14140000,21.0
2004-05-14150000,21.0
2004-05-14160000,23.0
2004-05-14170000,3.0
2004-05-14180000,41.0
2004-05-14190000,45.0
2004-05-14200000,35.0
2004-05-14210000,21.0
2004-05-14220000,23.0
2004-05-14230000,19.0
2004-05-15000000,19.0
2004-05-15010000,12.0
2004-05-15020000,1.0
2004-05-15030000,11.0
2004-05-15050000,5.0
2004-05-15060000,6.0
2004-05-15070000,14.0
2004-05-15080000,26.0
2004-05-15090000,28.0
2004-05-15100000,26.0
2004-05-15110000,16.0
2004-05-15120000,17.0
2004-05-15130000,17.0
2004-05-15140000,13.0
2004-05-15150000,14.0
2004-05-15160000,14.0
2004-05-15170000,17.0
2004-05-15180000,23.0
2004-05-15190000,25.0
2004-05-15200000,33.0
2004-05-15210000,22.0
2004-05-15220000,16.0
2004-05-15230000,26.0
2004-05-16000000,23.0
2004-05-16010000,15.0
2004-05-16020000,9.0
2004-05-16030000,8.0
2004-05-16050000,4.0
2004-05-16060000,4.0
2004-05-16070000,8.0
2004-05-16080000,9.0
2004-05-16090000,16.0
2004-05-16100000,2.0
2004-05-16110000,16.0
2004-05-16120000,14.0
2004-05-16130000,9.0
2004-05-16140000,9.0
2004-05-16150000,12.0
2004-05-16160000,14.0
2004-05-16170000,19.0
2004-05-16180000,18.0
2004-05-16190000,27.0
2004-05-16200000,24.0
2004-05-16210000,16.0
2004-05-16220000,14.0
2004-05-16230000,14.0
2004-05-17000000,14.0
2004-05-17010000,9.0
2004-05-17020000,5.0
2004-05-17030000,4.0
2004-05-17050000,5.0
2004-05-17060000,13.0
2004-05-17070000,26.0
2004-05-17080000,2.0
2004-05-17090000,18.0
2004-05-17100000,17.0
2004-05-17110000,15.0
2004-05-17120000,19.0
2004-05-17130000,17.0
2004-05-17140000,15.0
2004-05-17150000,17.0
2004-05-17160000,17.0
2004-05-17170000,24.0
2004-05-17180000,31.0
2004-05-17190000,34.0
2004-05-17200000,3.0
2004-05-17210000,12.0
2004-05-17220000,12.0
2004-05-17230000,13.0
2004-05-18000000,1.0
2004-05-18010000,4.0
2004-05-18020000,3.0
2004-05-18030000,2.0
2004-05-18050000,5.0
2004-05-18060000,9.0
2004-05-18070000,27.0
2004-05-18080000,65.0
2004-05-18090000,32.0
2004-05-18100000,24.0
2004-05-18110000,19.0
2004-05-18120000,27.0
2004-05-18130000,29.0
2004-05-18140000,2.0
2004-05-18150000,23.0
2004-05-18160000,19.0
2004-05-18170000,3.0
2004-05-18180000,44.0
2004-05-18190000,47.0
2004-05-18200000,34.0
2004-05-18210000,24.0
2004-05-18220000,12.0
2004-05-18230000,17.0
2004-05-19000000,12.0
2004-05-19010000,7.0
2004-05-19020000,5.0
2004-05-19030000,3.0
2004-05-19050000,3.0
2004-05-19060000,7.0
2004-05-19070000,31.0
2004-05-19080000,62.0
2004-05-19090000,46.0
2004-05-19100000,26.0
2004-05-19110000,21.0
2004-05-19120000,2.0
2004-05-19130000,22.0
2004-05-19140000,21.0
2004-05-19150000,23.0
2004-05-19160000,25.0
2004-05-19170000,34.0
2004-05-19180000,43.0
2004-05-19190000,38.0
2004-05-19200000,38.0
2004-05-19210000,2.0
2004-05-19220000,17.0
2004-05-19230000,2.0
2004-05-20000000,15.0
2004-05-20010000,8.0
2004-05-20020000,5.0
2004-05-20030000,3.0
2004-05-20050000,3.0
2004-05-20060000,9.0
2004-05-20070000,28.0
2004-05-20080000,54.0
2004-05-20090000,4.0
2004-05-20100000,22.0
2004-05-20110000,22.0
2004-05-20120000,2.0
2004-05-20130000,2.0
2004-05-20140000,19.0
2004-05-20150000,27.0
2004-05-20160000,22.0
2004-05-20170000,35.0
2004-05-20180000,41.0
2004-05-20190000,44.0
2004-05-20200000,45.0
2004-05-20210000,29.0
2004-05-20220000,26.0
2004-05-20230000,21.0
2004-05-21000000,12.0
2004-05-21010000,6.0
2004-05-21020000,3.0
2004-05-21030000,3.0
2004-05-21050000,3.0
2004-05-21060000,7.0
2004-05-21070000,42.0
2004-05-21080000,48.0
2004-05-21090000,34.0
2004-05-21100000,28.0
2004-05-21110000,18.0
2004-05-21120000,19.0
2004-05-21130000,2.0
2004-05-21140000,19.0
2004-05-21150000,2.0
2004-05-21160000,23.0
2004-05-21170000,27.0
2004-05-21180000,36.0
2004-05-21190000,38.0
2004-05-21200000,35.0
2004-05-21210000,25.0
2004-05-21220000,25.0
2004-05-21230000,3.0
2004-05-22000000,37.0
2004-05-22010000,33.0
2004-05-22020000,15.0
2004-05-22030000,7.0
2004-05-22050000,5.0
2004-05-22060000,5.0
2004-05-22070000,12.0
2004-05-22080000,22.0
2004-05-22090000,22.0
2004-05-22100000,21.0
2004-05-22110000,18.0
2004-05-22120000,22.0
2004-05-22130000,2.0
2004-05-22140000,14.0
2004-05-22150000,18.0
2004-05-22160000,21.0
2004-05-22170000,28.0
2004-05-22180000,28.0
2004-05-22190000,27.0
2004-05-22200000,18.0
2004-05-22210000,12.0
2004-05-22220000,26.0
2004-05-22230000,31.0
2004-05-23000000,41.0
2004-05-23010000,36.0
2004-05-23020000,19.0
2004-05-23030000,19.0
2004-05-23050000,3.0
2004-05-23060000,4.0
2004-05-23070000,8.0
2004-05-23080000,8.0
2004-05-23090000,8.0
2004-05-23100000,8.0
2004-05-23110000,9.0
2004-05-23120000,12.0
2004-05-23130000,1.0
2004-05-23140000,8.0
2004-05-23150000,11.0
2004-05-23160000,15.0
2004-05-23170000,15.0
2004-05-23180000,14.0
2004-05-23190000,11.0
2004-05-23200000,9.0
2004-05-23210000,1.0
2004-05-23220000,11.0
2004-05-23230000,1.0
2004-05-24000000,7.0
2004-05-24010000,5.0
2004-05-24020000,2.0
2004-05-24050000,1.0
2004-05-24060000,5.0
2004-05-24070000,16.0
2004-05-24080000,2.0
2004-05-24090000,13.0
2004-05-24100000,1.0
2004-05-24110000,9.0
2004-05-24120000,12.0
2004-05-24130000,13.0
2004-05-24140000,11.0
2004-05-24150000,12.0
2004-05-24160000,14.0
2004-05-24170000,2.0
2004-05-24180000,24.0
2004-05-24190000,21.0
2004-05-24200000,12.0
2004-05-24210000,7.0
2004-05-24220000,7.0
2004-05-24230000,8.0
2004-05-25000000,5.0
2004-05-25010000,2.0
2004-05-25050000,1.0
2004-05-25060000,2.0
2004-05-25070000,11.0
2004-05-25080000,3.0
2004-05-25090000,21.0
2004-05-25100000,26.0
2004-05-25110000,32.0
2004-05-25120000,21.0
2004-05-25130000,22.0
2004-05-25140000,24.0
2004-05-26090000,4.0
2004-05-26100000,22.0
2004-05-26110000,18.0
2004-05-26120000,16.0
2004-05-26130000,18.0
2004-05-26140000,16.0
2004-05-26150000,16.0
2004-05-26160000,13.0
2004-05-28150000,17.0
2004-05-28160000,17.0
2004-05-28170000,21.0
2004-05-28180000,22.0
2004-05-28190000,18.0
2004-05-28200000,18.0
2004-05-28210000,9.0
2004-05-28220000,1.0
2004-05-28230000,2.0
2004-05-29000000,18.0
2004-05-29010000,11.0
2004-05-29020000,6.0
2004-05-29030000,3.0
2004-05-29060000,1.0
2004-05-29070000,5.0
2004-05-29080000,6.0
2004-05-29090000,5.0
2004-05-29100000,7.0
2004-05-29110000,7.0
2004-05-29120000,9.0
2004-05-29130000,7.0
2004-05-29140000,4.0
2004-05-29150000,5.0
2004-05-29160000,6.0
2004-05-29170000,6.0
2004-05-29180000,8.0
2004-05-29190000,1.0
2004-05-29200000,12.0
2004-05-29210000,1.0
2004-05-29220000,13.0
2004-05-29230000,27.0
2004-05-30000000,27.0
2004-05-30010000,16.0
2004-05-30020000,6.0
2004-05-30030000,3.0
2004-05-30050000,1.0
2004-05-30060000,1.0
2004-05-30070000,2.0
2004-05-30080000,3.0
2004-05-30090000,3.0
2004-05-30100000,4.0
2004-05-30110000,3.0
2004-05-30120000,3.0
2004-05-30130000,1.0
2004-05-30140000,1.0
2004-05-30150000,2.0
2004-05-30160000,6.0
2004-05-30170000,5.0
2004-05-30180000,9.0
2004-05-30190000,11.0
2004-05-30200000,13.0
2004-05-30210000,15.0
2004-05-30220000,12.0
2004-05-30230000,4.0
2004-05-31000000,2.0
2004-05-31010000,3.0
2004-05-31060000,5.0
2004-05-31070000,16.0
2004-05-31080000,36.0
2004-05-31090000,22.0
2004-05-31100000,16.0
2004-05-31110000,14.0
2004-05-31120000,14.0
2004-05-31130000,15.0
2004-05-31140000,13.0
2004-05-31150000,12.0
2004-05-31160000,18.0
2004-05-31170000,3.0
2004-05-31180000,35.0
2004-05-31190000,24.0
2004-05-31200000,11.0
2004-05-31210000,8.0
2004-05-31220000,4.0
2004-05-31230000,6.0
2004-06-01000000,3.0
2004-06-01050000,1.0
2004-06-01060000,3.0
2004-06-01070000,14.0
2004-06-01080000,27.0
2004-06-01090000,23.0
2004-06-01100000,18.0
2004-06-01110000,16.0
2004-06-01120000,19.0
2004-06-01130000,25.0
2004-06-01140000,16.0
2004-06-01150000,15.0
2004-06-01160000,25.0
2004-06-01170000,36.0
2004-06-01180000,35.0
2004-06-01190000,48.0
2004-06-01200000,37.0
2004-06-01210000,21.0
2004-06-01220000,16.0
2004-06-01230000,22.0
2004-06-02000000,8.0
2004-06-04160000,27.0
2004-06-04170000,36.0
2004-06-04180000,33.0
2004-06-04190000,36.0
2004-06-04200000,29.0
2004-06-04210000,19.0
2004-06-04220000,2.0
2004-06-04230000,29.0
2004-06-05000000,27.0
2004-06-05010000,15.0
2004-06-05020000,16.0
2004-06-05030000,13.0
2004-06-05040000,7.0
2004-06-05050000,7.0
2004-06-05060000,12.0
2004-06-05070000,15.0
2004-06-05080000,15.0
2004-06-05090000,16.0
2004-06-05100000,11.0
2004-06-05110000,11.0
2004-06-05120000,14.0
2004-06-05130000,14.0
2004-06-05140000,1.0
2004-06-05150000,13.0
2004-06-05160000,19.0
2004-06-05170000,17.0
2004-06-05180000,23.0
2004-06-05190000,24.0
2004-06-05200000,18.0
2004-06-05210000,6.0
2004-06-05220000,8.0
2004-06-05230000,17.0
2004-06-06000000,11.0
2004-06-06010000,6.0
2004-06-06020000,11.0
2004-06-06030000,11.0
2004-06-06040000,1.0
2004-06-06050000,5.0
2004-06-06060000,7.0
2004-06-06070000,1.0
2004-06-06080000,12.0
2004-06-06090000,7.0
2004-06-06100000,9.0
2004-06-06110000,8.0
2004-06-06120000,8.0
2004-06-06130000,5.0
2004-06-06140000,5.0
2004-06-06150000,7.0
2004-06-06160000,9.0
2004-06-06170000,1.0
2004-06-06180000,12.0
2004-06-06190000,13.0
2004-06-06200000,16.0
2004-06-06210000,14.0
2004-06-06220000,17.0
2004-06-06230000,17.0
2004-06-07000000,14.0
2004-06-07010000,8.0
2004-06-07020000,4.0
2004-06-07030000,3.0
2004-06-07050000,5.0
2004-06-07060000,15.0
2004-06-07070000,26.0
2004-06-07080000,43.0
2004-06-07090000,31.0
2004-06-07100000,29.0
2004-06-07110000,25.0
2004-06-07120000,19.0
2004-06-07130000,25.0
2004-06-07140000,25.0
2004-06-07150000,28.0
2004-06-07160000,23.0
2004-06-07170000,33.0
2004-06-07180000,28.0
2004-06-07190000,48.0
2004-06-07200000,25.0
2004-06-07210000,2.0
2004-06-07220000,18.0
2004-06-07230000,17.0
2004-06-08000000,13.0
2004-06-08010000,7.0
2004-06-08020000,5.0
2004-06-08030000,4.0
2004-06-08040000,3.0
2004-06-08050000,5.0
2004-06-08060000,14.0
2004-06-08070000,33.0
2004-06-08080000,58.0
2004-06-08090000,5.0
2004-06-08100000,35.0
2004-06-08110000,29.0
2004-06-08120000,25.0
2004-06-08130000,23.0
2004-06-08140000,24.0
2004-06-08150000,26.0
2004-06-08160000,22.0
2004-06-08170000,35.0
2004-06-08180000,39.0
2004-06-08190000,45.0
2004-06-08200000,38.0
2004-06-08210000,28.0
2004-06-08220000,17.0
2004-06-08230000,12.0
2004-06-09000000,16.0
2004-06-09010000,1.0
2004-06-09020000,9.0
2004-06-09030000,5.0
2004-06-09040000,5.0
2004-06-09050000,5.0
2004-06-09060000,1.0
2004-06-09070000,35.0
2004-06-09080000,64.0
2004-06-09090000,29.0
2004-06-09100000,34.0
2004-06-09110000,28.0
2004-06-09120000,28.0
2004-06-09130000,28.0
2004-06-09140000,23.0
2004-06-09150000,18.0
2004-06-09160000,2.0
2004-06-09170000,35.0
2004-06-09180000,49.0
2004-06-09190000,46.0
2004-06-09200000,34.0
2004-06-09210000,27.0
2004-06-09220000,19.0
2004-06-09230000,15.0
2004-06-10000000,1.0
2004-06-10010000,7.0
2004-06-10020000,1.0
2004-06-10030000,6.0
2004-06-10050000,9.0
2004-06-10060000,12.0
2004-06-10070000,29.0
2004-06-10080000,48.0
2004-06-10090000,43.0
2004-06-10100000,31.0
2004-06-10110000,24.0
2004-06-10120000,28.0
2004-06-10130000,25.0
2004-06-10140000,26.0
2004-06-10150000,23.0
2004-06-10160000,24.0
2004-06-10170000,35.0
2004-06-10180000,48.0
2004-06-10190000,51.0
2004-06-10200000,47.0
2004-06-10210000,24.0
2004-06-10220000,25.0
2004-06-10230000,27.0
2004-06-11000000,15.0
2004-06-11010000,11.0
2004-06-11020000,6.0
2004-06-11030000,5.0
2004-06-11040000,4.0
2004-06-11050000,6.0
2004-06-11060000,1.0
2004-06-11070000,46.0
2004-06-11080000,48.0
2004-06-11090000,4.0
2004-06-11110000,2.0
2004-06-11120000,2.0
2004-06-11130000,2.0
2004-06-11140000,19.0
2004-06-11150000,19.0
2004-06-11160000,19.0
2004-06-11170000,26.0
2004-06-11180000,32.0
2004-06-11190000,34.0
2004-06-11200000,34.0
2004-06-11210000,29.0
2004-06-11220000,27.0
2004-06-11230000,13.0
2004-06-12000000,13.0
2004-06-12010000,9.0
2004-06-12020000,6.0
2004-06-12030000,5.0
2004-06-12040000,5.0
2004-06-12050000,9.0
2004-06-12060000,7.0
2004-06-12070000,6.0
2004-06-12080000,13.0
2004-06-12090000,19.0
2004-06-12100000,21.0
2004-06-12110000,18.0
2004-06-12120000,18.0
2004-06-12130000,16.0
2004-06-12140000,12.0
2004-06-12150000,12.0
2004-06-12160000,14.0
2004-06-12170000,13.0
2004-06-12180000,11.0
2004-06-12190000,11.0
2004-06-12200000,11.0
2004-06-12210000,18.0
2004-06-12220000,23.0
2004-06-12230000,26.0
2004-06-13000000,2.0
2004-06-13010000,1.0
2004-06-13020000,6.0
2004-06-13030000,6.0
2004-06-13040000,5.0
2004-06-13050000,4.0
2004-06-13060000,4.0
2004-06-13070000,4.0
2004-06-13080000,4.0
2004-06-13090000,5.0
2004-06-13100000,6.0
2004-06-13110000,7.0
2004-06-13120000,7.0
2004-06-13130000,6.0
2004-06-13140000,5.0
2004-06-13150000,6.0
2004-06-13160000,8.0
2004-06-13170000,8.0
2004-06-13180000,1.0
2004-06-13190000,1.0
2004-06-13200000,1.0
2004-06-13210000,9.0
2004-06-13220000,7.0
2004-06-13230000,8.0
2004-06-14000000,7.0
2004-06-14010000,5.0
2004-06-14020000,3.0
2004-06-14030000,3.0
2004-06-14050000,3.0
2004-06-14060000,7.0
2004-06-14070000,15.0
2004-06-14080000,18.0
2004-06-14090000,14.0
2004-06-14100000,15.0
2004-06-14110000,12.0
2004-06-14120000,12.0
2004-06-14130000,13.0
2004-06-14140000,1.0
2004-06-14150000,14.0
2004-06-14160000,16.0
2004-06-14170000,27.0
2004-06-14180000,23.0
2004-06-14190000,15.0
2004-06-14200000,14.0
2004-06-14210000,1.0
2004-06-14220000,11.0
2004-06-14230000,12.0
2004-06-15000000,12.0
2004-06-15010000,7.0
2004-06-15020000,5.0
2004-06-15030000,4.0
2004-06-15040000,4.0
2004-06-15050000,5.0
2004-06-15060000,1.0
2004-06-15070000,44.0
2004-06-15080000,4.0
2004-06-15090000,24.0
2004-06-15100000,21.0
2004-06-15110000,27.0
2004-06-15120000,28.0
2004-06-15130000,23.0
2004-06-15140000,2.0
2004-06-15150000,26.0
2004-06-15160000,27.0
2004-06-15170000,31.0
2004-06-15180000,31.0
2004-06-15190000,36.0
2004-06-15200000,29.0
2004-06-15210000,22.0
2004-06-15220000,2.0
2004-06-15230000,21.0
2004-06-16000000,19.0
2004-06-16010000,14.0
2004-06-16020000,8.0
2004-06-16030000,6.0
2004-06-16040000,6.0
2004-06-16050000,5.0
2004-06-16060000,1.0
2004-06-16070000,27.0
2004-06-16080000,5.0
2004-06-16090000,33.0
2004-06-16100000,24.0
2004-06-16110000,17.0
2004-06-16120000,17.0
2004-06-16130000,24.0
2004-06-16140000,22.0
2004-06-16150000,22.0
2004-06-16160000,23.0
2004-06-16170000,26.0
2004-06-16180000,23.0
2004-06-16190000,33.0
2004-06-16200000,35.0
2004-06-16210000,25.0
2004-06-16220000,25.0
2004-06-16230000,24.0
2004-06-17000000,25.0
2004-06-17010000,21.0
2004-06-17020000,1.0
2004-06-17030000,8.0
2004-06-17050000,5.0
2004-06-17060000,13.0
2004-06-17070000,36.0
2004-06-17080000,48.0
2004-06-17090000,37.0
2004-06-17100000,19.0
2004-06-17110000,17.0
2004-06-17120000,19.0
2004-06-17130000,18.0
2004-06-17140000,17.0
2004-06-17150000,18.0
2004-06-17160000,17.0
2004-06-17170000,28.0
2004-06-17180000,36.0
2004-06-17190000,33.0
2004-06-17200000,29.0
2004-06-17210000,17.0
2004-06-17220000,17.0
2004-06-17230000,28.0
2004-06-18000000,18.0
2004-06-18010000,1.0
2004-06-18020000,5.0
2004-06-18030000,4.0
2004-06-18040000,3.0
2004-06-18050000,4.0
2004-06-18060000,8.0
2004-06-18070000,22.0
2004-06-18080000,44.0
2004-06-18090000,37.0
2004-06-18100000,25.0
2004-06-18110000,25.0
2004-06-18120000,23.0
2004-06-18130000,2.0
2004-06-18140000,2.0
2004-06-18150000,21.0
2004-06-18160000,24.0
2004-06-18170000,31.0
2004-06-18180000,29.0
2004-06-18190000,35.0
2004-06-18200000,29.0
2004-06-18210000,15.0
2004-06-18220000,17.0
2004-06-18230000,22.0
2004-06-19000000,16.0
2004-06-19010000,1.0
2004-06-19020000,6.0
2004-06-19030000,6.0
2004-06-19040000,6.0
2004-06-19050000,5.0
2004-06-19060000,5.0
2004-06-19070000,9.0
2004-06-19080000,14.0
2004-06-19090000,16.0
2004-06-19100000,16.0
2004-06-19110000,17.0
2004-06-19120000,17.0
2004-06-19130000,15.0
2004-06-19140000,12.0
2004-06-19150000,12.0
2004-06-19160000,11.0
2004-06-19170000,1.0
2004-06-19180000,11.0
2004-06-19190000,16.0
2004-06-19200000,17.0
2004-06-19210000,14.0
2004-06-19220000,17.0
2004-06-19230000,24.0
2004-06-20000000,23.0
2004-06-20010000,12.0
2004-06-20020000,1.0
2004-06-20030000,14.0
2004-06-20050000,1.0
2004-06-20060000,9.0
2004-06-20070000,8.0
2004-06-20080000,1.0
2004-06-20090000,12.0
2004-06-20100000,12.0
2004-06-20110000,1.0
2004-06-20120000,1.0
2004-06-20130000,6.0
2004-06-20140000,7.0
2004-06-20150000,8.0
2004-06-20160000,11.0
2004-06-20170000,14.0
2004-06-20180000,28.0
2004-06-20190000,25.0
2004-06-20200000,16.0
2004-06-20210000,14.0
2004-06-20220000,23.0
2004-06-20230000,42.0
2004-06-21000000,3.0
2004-06-21010000,22.0
2004-06-21020000,6.0
2004-06-21030000,3.0
2004-06-21040000,3.0
2004-06-21050000,5.0
2004-06-21060000,13.0
2004-06-21070000,25.0
2004-06-21080000,37.0
2004-06-21090000,25.0
2004-06-21100000,18.0
2004-06-21110000,15.0
2004-06-21120000,15.0
2004-06-21130000,12.0
2004-06-21140000,14.0
2004-06-21150000,16.0
2004-06-21160000,16.0
2004-06-21170000,22.0
2004-06-21180000,3.0
2004-06-21190000,3.0
2004-06-21200000,27.0
2004-06-21210000,21.0
2004-06-21220000,16.0
2004-06-21230000,13.0
2004-06-22000000,11.0
2004-06-22010000,7.0
2004-06-22020000,4.0
2004-06-22030000,2.0
2004-06-22040000,2.0
2004-06-22050000,3.0
2004-06-22060000,9.0
2004-06-22070000,31.0
2004-06-22080000,5.0
2004-06-22090000,28.0
2004-06-22100000,28.0
2004-06-22110000,21.0
2004-06-22120000,31.0
2004-06-22130000,3.0
2004-06-22140000,21.0
2004-06-22150000,17.0
2004-06-22160000,22.0
2004-06-22170000,35.0
2004-06-22180000,36.0
2004-06-22190000,41.0
2004-06-22200000,4.0
2004-06-22210000,18.0
2004-06-22220000,17.0
2004-06-22230000,24.0
2004-06-23000000,12.0
2004-06-23010000,8.0
2004-06-23020000,5.0
2004-06-23030000,3.0
2004-06-23050000,4.0
2004-06-23060000,1.0
2004-06-23070000,38.0
2004-06-23080000,32.0
2004-06-23090000,35.0
2004-06-23100000,32.0
2004-06-23110000,23.0
2004-06-23120000,22.0
2004-06-23130000,21.0
2004-06-23140000,19.0
2004-06-23150000,24.0
2004-06-23160000,25.0
2004-06-23170000,36.0
2004-06-23180000,39.0
2004-06-23190000,44.0
2004-06-23200000,48.0
2004-06-23210000,25.0
2004-06-23220000,28.0
2004-06-23230000,32.0
2004-06-24000000,26.0
2004-06-24010000,15.0
2004-06-24020000,1.0
2004-06-24030000,8.0
2004-06-24040000,6.0
2004-06-24050000,6.0
2004-06-24060000,7.0
2004-06-24070000,12.0
2004-06-24080000,15.0
2004-06-24090000,13.0
2004-06-24100000,16.0
2004-06-24110000,15.0
2004-06-24120000,12.0
2004-06-24130000,11.0
2004-06-24140000,12.0
2004-06-24150000,13.0
2004-06-24160000,14.0
2004-06-24170000,16.0
2004-06-24180000,21.0
2004-06-24190000,3.0
2004-06-24200000,28.0
2004-06-24210000,38.0
2004-06-24220000,32.0
2004-06-24230000,41.0
2004-06-25000000,26.0
2004-06-25010000,2.0
2004-06-25020000,9.0
2004-06-25030000,7.0
2004-06-25040000,6.0
2004-06-25050000,6.0
2004-06-25060000,16.0
2004-06-25070000,26.0
2004-06-25080000,29.0
2004-06-25090000,28.0
2004-06-25100000,19.0
2004-06-25110000,19.0
2004-06-25120000,21.0
2004-06-25130000,19.0
2004-06-25140000,16.0
2004-06-25150000,16.0
2004-06-25160000,21.0
2004-06-25170000,24.0
2004-06-25180000,28.0
2004-06-25190000,34.0
2004-06-25200000,34.0
2004-06-25210000,27.0
2004-06-25220000,26.0
2004-06-25230000,23.0
2004-06-26000000,12.0
2004-06-26010000,1.0
2004-06-26020000,9.0
2004-06-26030000,11.0
2004-06-26050000,4.0
2004-06-26060000,9.0
2004-06-26070000,18.0
2004-06-26080000,22.0
2004-06-26090000,24.0
2004-06-26100000,23.0
2004-06-26110000,16.0
2004-06-26120000,14.0
2004-06-26130000,14.0
2004-06-26140000,1.0
2004-06-26150000,1.0
2004-06-26160000,12.0
2004-06-26170000,13.0
2004-06-26180000,15.0
2004-06-26190000,19.0
2004-06-26200000,18.0
2004-06-26210000,14.0
2004-06-26220000,17.0
2004-06-26230000,27.0
2004-06-27000000,21.0
2004-06-27010000,14.0
2004-06-27020000,1.0
2004-06-27030000,1.0
2004-06-27040000,8.0
2004-06-27050000,5.0
2004-06-27060000,6.0
2004-06-27070000,6.0
2004-06-27080000,1.0
2004-06-27090000,16.0
2004-06-27100000,19.0
2004-06-27110000,17.0
2004-06-27120000,11.0
2004-06-27130000,8.0
2004-06-27140000,7.0
2004-06-27150000,7.0
2004-06-27160000,12.0
2004-06-27170000,16.0
2004-06-27180000,16.0
2004-06-27190000,17.0
2004-06-27200000,2.0
2004-06-27210000,23.0
2004-06-27220000,24.0
